user_input,reference_contexts,reference,persona_name,query_style,query_length,synthesizer_name,page_numbers
What is the Government Procurement Guide for Suppliers about?,"['[PAGE 1]### Key Text Segments\n- Title: **Government Procurement Guide for Suppliers**\n- Subtitle: **(Comprehensive Version)**\n\n### Visual Data\n- **Images**: The page features a background design with a geometric pattern in light blue and gray tones, but no specific charts or tables are present on this page.\n\n### Summary\nThe page serves as the title page for a guide aimed at suppliers involved in government procurement, emphasizing its comprehensive nature. There are no data points, charts, or tables to report.']","The Government Procurement Guide for Suppliers is a comprehensive guide aimed at suppliers involved in government procurement. It serves as the title page for the guide, emphasizing its comprehensive nature, but does not include any data points, charts, or tables.",Government Procurement Analyst,POOR_GRAMMAR,MEDIUM,single_hop_specific_query_synthesizer,[1]
What is the publication date of the guide on government procurement?,"['[PAGE 2]### Visual Data\n\n#### Table of Contents\n| Section Number | Title                                                                                      | Page |\n|----------------|--------------------------------------------------------------------------------------------|------|\n| 1              | About This Guide                                                                          | 3    |\n| 2              | Understanding Government Procurement                                                       | 3    |\n| 3              | Looking for Opportunities                                                                  | 8    |\n| 4              | Participating in Government Procurement                                                    | 11   |\n| 5              | Tips for Submitting a Competitive Bid                                                     | 14   |\n| 6              | Bid Submission Checklist                                                                   | 18   |\n| 7              | Delivering Your Products & Services                                                        | 19   |\n| 8              | Reviewing Bid Results                                                                      | 20   |\n| 9              | Providing Feedback to the Government                                                       | 21   |\n| 10             | Summary of Procurement Process                                                             | 22   |\n| 11             | Useful Links                                                                              | 24   |\n\n### Key Text Segments\n- The document is titled ""About This Guide"" and is published by the Ministry of Finance, Singapore, dated April 9, 2024.\n- It covers various aspects of government procurement, including understanding the process, finding opportunities, and tips for submitting bids.\n\n### Notes\n- The document is structured with clear sections and subsections, making it easy to navigate.\n- Each section is numbered and includes a title that summarizes the content.']","The guide on government procurement is published by the Ministry of Finance, Singapore, dated April 9, 2024.",Government Procurement Analyst,PERFECT_GRAMMAR,SHORT,single_hop_specific_query_synthesizer,[2]
What types of purchases does the Singapore Government make?,"['[PAGE 3]### Key Text Segments\n\n- **Title**: About this Guide\n- **Purpose**: Useful for suppliers looking to deliver goods or services to the Singapore Government.\n- **Key Questions Addressed**:\n  - What does the Government procure?\n  - What are the rules and processes of Government procurement?\n  - How to look for business opportunities?\n  - How to participate?\n  - How to submit a competitive bid?\n\n### Visual Data\n\n#### Figure 1: Summary of Government Procurement\n\n- **Data Points**:\n  - Services: 30%\n  - Construction Services: 60%\n  - Goods: 10%\n\n### Additional Information\n\n- **Context**: The guide explains the procurement activities of various government entities and emphasizes the importance of value-for-money (VFM) in procurement processes.\n- **Types of Purchases**: Ranges from low-value items (e.g., office stationery) to high-value contracts (e.g., construction and technology projects).']","The Singapore Government's purchases range from low-value items, such as office stationery, to high-value contracts, including construction and technology projects.",Government Procurement Analyst,WEB_SEARCH_LIKE,SHORT,single_hop_specific_query_synthesizer,[3]
What Free Trade Agreements Singapore signatory to and how they relate to government procurement?,"[""[PAGE 4]### Key Text Segments\n\n- **Title**: Alignment with International Standards\n- **Content**: \n  - Singapore’s government procurement regime aligns with international standards.\n  - Signatory to the WTO-GPA and several Free Trade Agreements (FTAs).\n  - WTO-GPA sets legal ground-rules for international commerce.\n\n- **Section Title**: Government Procurement Principles\n  - Principles: transparency, open and fair competition, and value for money.\n  - Agencies apply these principles to manage procurements properly.\n\n- **Section Title**: Open and Fair Competition\n  - All suppliers treated fairly; no discrimination.\n  - Equal information provided to all suppliers.\n\n- **Section Title**: Transparency\n  - Commitment to an open and transparent procurement system.\n  - Information published on the Government Electronic Business portal (GeBIZ).\n\n### Visual Data\n\n#### Chart\n- **Venn Diagram** showing the intersection of:\n  - Value for Money\n  - Transparency\n  - Open & Fair Competition\n\n### Additional Information\n- **Footer**: © The Ministry of Finance, Singapore, 9 April 2024\n\nThis page emphasizes the principles guiding Singapore's government procurement policies, highlighting the importance of transparency and fair competition.""]","Singapore is a signatory to several Free Trade Agreements (FTAs) and the WTO-GPA, which sets legal ground-rules for international commerce. These agreements align Singapore’s government procurement regime with international standards, ensuring transparency, open and fair competition, and value for money in the procurement process.",Government Procurement Analyst,POOR_GRAMMAR,LONG,single_hop_specific_query_synthesizer,[4]
Wht is the purpose of industry briefings and how does becoming a GeBIZ Trading Partner help suppliers in government procurement?,"['<1-hop>\n\n[PAGE 9]### Key Text Segments\n\n- **Industry Briefings**\n  - Agencies involved: Enterprise Singapore, Building and Construction Authority (BCA), Government Technology Agency of Singapore (GovTech).\n  - Purpose: To help suppliers understand government requirements and procurement opportunities.\n  - Example: GovTech\'s annual industry briefing on infocomm business opportunities.\n  - Focus: Latest ICT vision, direction, digitalisation roadmap, and upcoming infocomm projects.\n\n- **Useful Tip**\n  - Check the Listing of Indicative Government Procurement Opportunities regularly for updates.\n  - Note: The listing is indicative; agencies may or may not proceed with stated procurements.\n\n- **Current Business Opportunities**\n  - Opportunities like Tenders and Quotations can be found on the GeBIZ website.\n\n### Visual Data\n\n#### Image Description\n- An image of a website interface showing a search bar with the following elements:\n  - **Home**\n  - **Opportunities**\n  - **Supplier Directory**\n  - **Search for Opportunities**: A search bar with the prompt ""Keyword, Document No., Agency, Procurement Category.""\n  - **Button**: ""Go""\n  - **Link**: ""Today\'s Opportunities""\n\n### Additional Information\n- **Date**: 9 April 2024\n- **Source**: © The Ministry of Finance, Singapore', '<2-hop>\n\n[PAGE 12]### Key Text Segments\n- **Title:** Useful Tip: Tell us more about your company to help us notify you for related procurement\n- **Description:** When you sign up to become a GeBIZ Trading Partner, you have to select your areas of business [""Main Category (level 1)"" and ""Sub-category (level 2)""]. This categorisation helps agencies find relevant suppliers and notify them of related procurement opportunities.\n- **Sections:**\n  - Company Information\n  - Account\n  - Areas of Business\n  - Company Profile\n  - Verify and Submit\n- **Additional Tips:**\n  - Get alerts on new business opportunities\n  - You can get alerts on new business opportunities even when on the move via RSS Feeds or email alerts from GoBusiness Gov Assist.\n\n### Visual Data\n\n#### Areas of Business Table\n| Main Category (level 1) | Sub-category (level 2)                     |\n|-------------------------|--------------------------------------------|\n| Administration & Training| Art Supplies                               |\n|                         | Courses                                    |\n|                         | Educational Supplies                       |\n|                         | Gifts & Souvenirs                         |\n|                         | Medals & Trophies                         |\n|                         | Music & Video                              |\n|                         | Office Supplies & Stationery               |\n|                         | Paper                                      |\n|                         | Photographic & Imaging Services            |\n|                         | Postage & Courier                          |\n|                         | Printing Services                          |\n|                         | Publications & Periodicals                 |\n|                         | Sports & Recreational Equipment            |\n|                         | Survey Services                            |\n|                         | Toners & Cartridges                        |\n| Construction            | Asphalt Works & Road Marking               |\n|                         | Civil Engineering                          |\n|                         | Concrete Products & Repairs                |\n\n### Additional Information\n- **Source:** © The Ministry of Finance, Singapore\n- **Date:** 9 April 2024']","The purpose of industry briefings is to help suppliers understand government requirements and procurement opportunities, with agencies like Enterprise Singapore, BCA, and GovTech involved. For example, GovTech holds an annual industry briefing focused on the latest ICT vision and upcoming projects. Becoming a GeBIZ Trading Partner allows suppliers to select their areas of business, which helps agencies find relevant suppliers and notify them of related procurement opportunities. This categorization is essential for suppliers to receive alerts on new business opportunities.",,,,multi_hop_abstract_query_synthesizer,"[9, 12]"
"What are the requirements for suppliers to engage in government procurement processes through GeBIZ, and which government agencies are involved?","['<1-hop>\n\n[PAGE 9]### Key Text Segments\n\n- **Industry Briefings**\n  - Agencies involved: Enterprise Singapore, Building and Construction Authority (BCA), Government Technology Agency of Singapore (GovTech).\n  - Purpose: To help suppliers understand government requirements and procurement opportunities.\n  - Example: GovTech\'s annual industry briefing on infocomm business opportunities.\n  - Focus: Latest ICT vision, direction, digitalisation roadmap, and upcoming infocomm projects.\n\n- **Useful Tip**\n  - Check the Listing of Indicative Government Procurement Opportunities regularly for updates.\n  - Note: The listing is indicative; agencies may or may not proceed with stated procurements.\n\n- **Current Business Opportunities**\n  - Opportunities like Tenders and Quotations can be found on the GeBIZ website.\n\n### Visual Data\n\n#### Image Description\n- An image of a website interface showing a search bar with the following elements:\n  - **Home**\n  - **Opportunities**\n  - **Supplier Directory**\n  - **Search for Opportunities**: A search bar with the prompt ""Keyword, Document No., Agency, Procurement Category.""\n  - **Button**: ""Go""\n  - **Link**: ""Today\'s Opportunities""\n\n### Additional Information\n- **Date**: 9 April 2024\n- **Source**: © The Ministry of Finance, Singapore', '<2-hop>\n\n[PAGE 11]### Key Text Segments\n- **Title**: 4. Participating in Government Procurement\n- **Subtitle**: Registering as a GeBIZ Trading Partner\n- **Introduction**: \n  - To participate in government procurement opportunities like Invitation-to-Quotes (Quotations) and Invitation-to-Tenders (Tenders) posted on GeBIZ, you will need to be a GeBIZ Trading Partner (GTP).\n  \n### Visual Data\n- **Call to Action Box**:\n  - Text: ""Sign up as a GeBIZ Trading Partner today!""\n  - Subtext: ""Quick and easy steps to register online at www.gebiz.gov.sg""\n  - Note: ""Registration is free for the first user account""\n\n### Benefits of Being a GeBIZ Trading Partner\n- **Bullet Points**:\n  - Have unlimited access to the business opportunities available on GeBIZ\n  - Download documents and participate in Tenders and Quotations\n  - Obtain detailed information on Tender and Quotation awards\n  - Receive purchase orders electronically\n  - Able to use the “Our Company Profile” feature to showcase your track record and experience\n\n### Footer\n- © The Ministry of Finance, Singapore\n- Date: 9 April 2024\n\nNo charts or tables are present on this page.']","To engage in government procurement processes through GeBIZ, suppliers must register as a GeBIZ Trading Partner (GTP). This registration is free for the first user account and allows suppliers to access business opportunities, download documents, and participate in Tenders and Quotations. The key government agencies involved in this process include Enterprise Singapore, the Building and Construction Authority (BCA), and the Government Technology Agency of Singapore (GovTech).",,,,multi_hop_abstract_query_synthesizer,"[9, 11]"
What are the implications of bid-rigging on government procurement processes and how can suppliers ensure compliance with the rules?,"['<1-hop>\n\n[PAGE 20]### Key Text Segments\n\n- **Bid-rigging**: \n  - An agency will submit the debarment recommendation of a company (or an employee of a defaulting company) to the Standing Committee on Debarment (SCOD) for approval.\n  - If approved, the company or employee will be informed of the outcome and the reason for debarment.\n  - Companies will be barred from participating in government tenders listed in GeBIZ for a period of one to five years, depending on the severity of the default.\n  - The list of debarred contractors is for internal government use only.\n\n- **Reviewing Bid Results**:\n  - Importance of understanding the agency’s business needs and how the government conducts business with suppliers.\n  - Encouragement to engage with respective agencies to improve proposals.\n\n### Useful Tip\n\n- **How to improve for construction Tenders**:\n  - For Tenders under the BCA Construction Workheads (CW01 & CW02) with a procurement value of S$3 million and above, BCA will assist unsuccessful contractors by conducting one-to-one feedback sessions to provide detailed feedback on strengths and weaknesses for projects above S$50 million.\n\n### Visual Data\n\n- **No charts or tables present**: The page contains text and a useful tip but does not include any charts or tables that can be formatted or listed.', '<2-hop>\n\n[PAGE 3]### Key Text Segments\n\n- **Title**: About this Guide\n- **Purpose**: Useful for suppliers looking to deliver goods or services to the Singapore Government.\n- **Key Questions Addressed**:\n  - What does the Government procure?\n  - What are the rules and processes of Government procurement?\n  - How to look for business opportunities?\n  - How to participate?\n  - How to submit a competitive bid?\n\n### Visual Data\n\n#### Figure 1: Summary of Government Procurement\n\n- **Data Points**:\n  - Services: 30%\n  - Construction Services: 60%\n  - Goods: 10%\n\n### Additional Information\n\n- **Context**: The guide explains the procurement activities of various government entities and emphasizes the importance of value-for-money (VFM) in procurement processes.\n- **Types of Purchases**: Ranges from low-value items (e.g., office stationery) to high-value contracts (e.g., construction and technology projects).']","Bid-rigging can lead to severe consequences for companies involved, including debarment from participating in government tenders for a period of one to five years, depending on the severity of the default. Suppliers must understand the rules and processes of government procurement to avoid such implications. Engaging with respective agencies and improving proposals can help suppliers navigate the procurement landscape effectively.",,,,multi_hop_abstract_query_synthesizer,"[3, 20]"
How does GeBIZ facilitate the identification of procurement opportunities based on the estimated procurement value?,"['<1-hop>\n\n[PAGE 6]### Visual Data\n\n#### Table: Procurement Approaches Based on Estimated Procurement Value\n\n| Estimated Procurement Value (EPV) | Procurement Approach                | Description                                                                 | Sourcing Methods                                           |\n|------------------------------------|-------------------------------------|-----------------------------------------------------------------------------|-----------------------------------------------------------|\n| Not exceeding S$6,000              | Small Value Purchases (SVP)        | Buy directly from suitable suppliers or off-the-shelf, provided the prices reflect fair market value | - Verbal or written quotes<br>- Off the shelf purchase<br>- GeBIZ Mall Catalogues |\n| More than S$6,000 but not exceeding S$90,000 | Quotation                          | 1. Open Quotation: Quotation notice published openly on GeBIZ inviting suppliers to quote<br>2. Limited Quotation: One or a few selected suppliers will be invited to quote | - Invitation to Quote (ITQ)<br>- Period Contracts<br>- Framework Agreements |\n| Exceeding S$90,000                 | Tender                              | 1. Open Tender: Tender notice published openly on GeBIZ inviting any interested supplier to bid according to the specified requirements<br>2. Selective Tender: A 2-stage process in which interested suppliers will be shortlisted based on their capabilities via an open pre-qualification exercise. The shortlisted suppliers will be invited to submit their bids<br>3. Limited Tender: One or a few selected suppliers will be invited to tender | - Invitation to Tender (ITT)<br>- Period Contracts<br>- Framework Agreements<br>- Expression of Interest in the pre-qualification exercise followed by Tender for qualified suppliers |\n\n### Key Text Segments\n- ""Based on the estimated value of the procurement, agencies would choose the procurement approach as shown in the following table.""\n- ""© The Ministry of Finance, Singapore 9 April 2024""', '<2-hop>\n\n[PAGE 8]### Key Text Segments\n- **Title:** 3. Looking for Opportunities\n- **Subtitle:** Where can you find opportunities?\n- **Description of GeBIZ:** GeBIZ is the Singapore Government\'s one-stop business centre for electronic transactions with government agencies.\n- **Purpose of the Listing:** The Listing of Indicative Government Procurement Opportunities shows potential procurements for the upcoming year, allowing suppliers to identify opportunities in advance.\n- **Publication Information:** The listing will be published in April for each financial year (1 April to 31 March).\n\n### Visual Data\n\n#### Image\n- **Description:** An image showing a section of the GeBIZ website with a highlighted link to ""Listing of Indicative Government Procurement Opportunities.""\n\n### Categories for Searching Business Opportunities\n- **a.** Description\n- **b.** Financial Year\n- **c.** Agencies\n- **d.** Procurement Type – Construction Services, Goods, Services\n- **e.** Registration Heads\n- **f.** Projected Procurement Value\n\n### Additional Information\n- **Website Link:** [GeBIZ Procurement Opportunities](https://www.gebiz.gov.sg/ptn/ppllisting/index.xhtml) \n\nThis page provides essential information for suppliers looking to engage with government procurement opportunities in Singapore.']","GeBIZ facilitates the identification of procurement opportunities by providing a one-stop business centre for electronic transactions with government agencies. It publishes a Listing of Indicative Government Procurement Opportunities in April for each financial year, which allows suppliers to identify potential procurements in advance. The procurement approach is determined based on the estimated procurement value, as outlined in the table that categorizes procurement methods such as Small Value Purchases, Quotations, and Tenders, depending on the value thresholds.",,,,multi_hop_abstract_query_synthesizer,"[8, 6]"
"What are the key steps involved in the government procurement process after a tender is awarded, and how can suppliers ensure compliance with the terms and conditions?","['<1-hop>\n\n[PAGE 23]### Key Text Segments\n\n#### Awarding the Quotation/Tender\n- Agencies award the contract, concluding the procurement process.\n- Details of the awarded contract will be published on GeBIZ.\n- If awarded, the agency will contact you.\n- An offline contract may be signed.\n- If not awarded, feedback and clarification can be sought from the Government agency for future Quotations/Tenders.\n\n#### Managing the Contract\n- Agencies manage the contract to ensure compliance with stated terms.\n- Options for contract extension, termination, and transition to new suppliers are monitored.\n- Maintain good communication and a working relationship with the agency.\n- Deliver all stated requirements on time to provide value for money and enhance reputation.\n\n### Visual Data\n\n#### Opportunities in Other Countries\n- Suppliers may be interested in opportunities in other governments.\n- Singapore is a signatory to the WTO Agreement on Government Procurement (WTO-GPA) and multiple Free Trade Agreements (FTAs).\n- Local suppliers can participate in overseas procurement opportunities.\n- Overseas suppliers can participate in local business opportunities.\n- Opportunities can be found via the GeBIZ website with links to relevant websites.\n\n### Procurement Information\n- **Listing of Indicative Government Procurement Opportunities**\n- **Singapore Government Procurement Regime**\n- **Government Procurement Opportunities in Other Countries**\n\n### Images\n- An image is present that includes a list of procurement information topics, but specific details about the image cannot be described.', '<2-hop>\n\n[PAGE 14]### Key Text Segments\n\n- **Title**: 5. Tips for Submitting a Competitive Bid\n- **Section**: Understand the Terms and Conditions\n- **Content**: \n  - The government agency issuing a Quotation or Tender would issue its contractual terms and conditions to ensure a level playing field for all potential suppliers. If there are any terms & conditions which you are unclear about, it is best to seek clarifications with the procuring agency.\n\n### Visual Data\n\n#### Table: Common Terms & Conditions\n\n| Term/Condition                          | Description                                                                                                                                                                                                 |\n|-----------------------------------------|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|\n| Government may reserve the rights to award in parts | There is a commonly used clause which states that the “Authority reserves the right to award this ITT (Invitation to Tender) in whole or in parts to one or more Tenderers”. Agencies may or may not award the ITT in whole. |\n| Contract Options                        | Agencies may request for quotes for contract options in their Quotation or Tender. Contract Options are items which will be awarded together with the base items, but the purchasing agency has discretion to utilise or not utilise these items at a later date. |\n\n### Additional Notes\n\n- The page includes a footer with the following information:\n  - © The Ministry of Finance, Singapore\n  - Date: 9 April 2024\n\n- There are no charts or images present on this page.']","After a tender is awarded, the key steps in the government procurement process include the agency awarding the contract and publishing the details on GeBIZ. The agency will contact the awarded supplier, and an offline contract may be signed. To ensure compliance with the terms and conditions, suppliers should understand the contractual terms issued by the government agency and seek clarifications if any terms are unclear. Maintaining good communication with the agency and delivering all stated requirements on time is essential for providing value for money and enhancing reputation.",,,,multi_hop_specific_query_synthesizer,"[14, 23]"
"What are the guidelines for providing feedback to the government regarding procurement processes, and how does the estimated procurement value affect the procurement approach as of 9 April 2024?","['<1-hop>\n\n[PAGE 21]### Key Text Segments\n- **Title**: 9. Providing Feedback to the Government\n- **Introduction**: The Government endeavours to uphold high standards in its procurement process and will continuously review its process as necessary. Your feedback is important to highlight examples of both good practices and areas for improvement.\n\n### Visual Data\n\n#### Flowchart\n- **The Procuring Agency**\n  - As a start, get in touch with the agency who is calling the procurement for clarifications.\n  - The agency is obliged to explain to you why your bid was not successful, upon writing in.\n\n- **The Ministry of Finance**\n  - The Ministry of Finance (MOF) is in charge of the procurement policy for the entire Government. \n  - If you have any concerns over a Quotation or Tender, or feedback on how to improve our procurement practices and processes, you may direct them to MOF via mof_qsm@mof.gov.sg.\n  - If you have experiences to share on accessing overseas markets or doing business with foreign Governments, you may also email MOF, and the Ministry of Trade & Industry (MTI).\n\n- **The Government Procurement Adjudication Tribunal**\n  - Suppliers can only seek this recourse if the tender is covered under the Government Procurement Act (GPA).\n  - Note that you may raise a formal complaint via the Government Procurement Adjudication Tribunal only if you have exhausted all avenues.\n  - It is essential that you have first tried in good faith to address your concerns with the relevant agency before taking up this option.\n\n### Additional Information\n- **Date**: 9 April 2024\n- **Copyright**: © The Ministry of Finance, Singapore\n\nThis page provides a structured overview of the feedback process for concerns regarding government procurement, detailing the roles of different agencies involved.', '<2-hop>\n\n[PAGE 6]### Visual Data\n\n#### Table: Procurement Approaches Based on Estimated Procurement Value\n\n| Estimated Procurement Value (EPV) | Procurement Approach                | Description                                                                 | Sourcing Methods                                           |\n|------------------------------------|-------------------------------------|-----------------------------------------------------------------------------|-----------------------------------------------------------|\n| Not exceeding S$6,000              | Small Value Purchases (SVP)        | Buy directly from suitable suppliers or off-the-shelf, provided the prices reflect fair market value | - Verbal or written quotes<br>- Off the shelf purchase<br>- GeBIZ Mall Catalogues |\n| More than S$6,000 but not exceeding S$90,000 | Quotation                          | 1. Open Quotation: Quotation notice published openly on GeBIZ inviting suppliers to quote<br>2. Limited Quotation: One or a few selected suppliers will be invited to quote | - Invitation to Quote (ITQ)<br>- Period Contracts<br>- Framework Agreements |\n| Exceeding S$90,000                 | Tender                              | 1. Open Tender: Tender notice published openly on GeBIZ inviting any interested supplier to bid according to the specified requirements<br>2. Selective Tender: A 2-stage process in which interested suppliers will be shortlisted based on their capabilities via an open pre-qualification exercise. The shortlisted suppliers will be invited to submit their bids<br>3. Limited Tender: One or a few selected suppliers will be invited to tender | - Invitation to Tender (ITT)<br>- Period Contracts<br>- Framework Agreements<br>- Expression of Interest in the pre-qualification exercise followed by Tender for qualified suppliers |\n\n### Key Text Segments\n- ""Based on the estimated value of the procurement, agencies would choose the procurement approach as shown in the following table.""\n- ""© The Ministry of Finance, Singapore 9 April 2024""']","The guidelines for providing feedback to the government regarding procurement processes emphasize the importance of highlighting both good practices and areas for improvement. Suppliers are encouraged to contact the procuring agency for clarifications and can seek explanations for unsuccessful bids. Feedback can also be directed to the Ministry of Finance (MOF) for concerns over quotations or tenders. As for the procurement approach, it varies based on the estimated procurement value (EPV). For values not exceeding S$6,000, small value purchases are made directly from suppliers. For values between S$6,000 and S$90,000, an open or limited quotation process is used. For amounts exceeding S$90,000, a tender process is implemented, which can be open, selective, or limited, depending on the situation. This structured approach ensures that procurement practices are fair and transparent.",,,,multi_hop_specific_query_synthesizer,"[21, 6]"
